state,date,age_0_5,age_5_17,age_18_greater
100000,2025-02-09,0,0,3
100000,2025-03-09,0,0,1
100000,2025-08-09,0,0,1
100000,2025-09-09,0,0,1
100000,2025-11-09,0,0,2
100000,2025-12-09,0,0,2
ANDAMAN & NICOBAR ISLANDS,2025-01-09,4,1,0
ANDAMAN & NICOBAR ISLANDS,2025-01-11,1,0,0
ANDAMAN & NICOBAR ISLANDS,2025-02-09,1,0,0
ANDAMAN & NICOBAR ISLANDS,2025-03-09,1,0,0
ANDAMAN & NICOBAR ISLANDS,2025-03-11,2,0,0
ANDAMAN & NICOBAR ISLANDS,2025-04-09,5,0,0
ANDAMAN & NICOBAR ISLANDS,2025-05-09,2,0,0
ANDAMAN & NICOBAR ISLANDS,2025-08-09,1,0,0
ANDAMAN & NICOBAR ISLANDS,2025-09-09,1,1,0
ANDAMAN & NICOBAR ISLANDS,2025-09-11,2,0,0
ANDAMAN & NICOBAR ISLANDS,2025-11-09,3,0,0
ANDAMAN & NICOBAR ISLANDS,2025-11-11,3,0,0
ANDAMAN & NICOBAR ISLANDS,2025-12-09,2,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-01-09,20,2,0
ANDAMAN AND NICOBAR ISLANDS,2025-01-11,2,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-02-09,8,1,0
ANDAMAN AND NICOBAR ISLANDS,2025-02-11,2,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-03-09,10,1,0
ANDAMAN AND NICOBAR ISLANDS,2025-03-11,1,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-04-09,11,1,0
ANDAMAN AND NICOBAR ISLANDS,2025-05-09,3,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-05-11,4,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-06-11,3,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-07-11,4,0,0
ANDAMAN AND NICOBAR ISLANDS,2025-08-09,12,0,0
