state,risk_score
ANDAMAN & NICOBAR ISLANDS,0.00011997513408323089
ANDAMAN AND NICOBAR ISLANDS,0.0005192509921452912
ANDHRA PRADESH,0.24203593101014786
ARUNACHAL PRADESH,0.0025039111625313215
ASSAM,0.12530072611472143
BIHAR,0.5648986308354041
CHANDIGARH,0.002749980804728011
CHHATTISGARH,0.2967046660922434
DADRA & NAGAR HAVELI,2.476432514512599e-05
DADRA AND NAGAR HAVELI,0.0007024224289734316
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,5.8478658092481976e-05
DAMAN & DIU,4.862851999012116e-05
DAMAN AND DIU,0.00016969463225324918
DELHI,0.18396539771036574
GOA,0.0023910016640412866
GUJARAT,0.43159212320053303
HARYANA,0.1957489987647725
HIMACHAL PRADESH,0.016569331016865856
JAMMU & KASHMIR,2.919434809348979e-05
JAMMU AND KASHMIR,0.06453192564568992
JHARKHAND,0.12379908148027385
KARNATAKA,0.30074700994737585
KERALA,0.03846983000473135
LADAKH,0.00014218858709492713
LAKSHADWEEP,8.972528108075493e-05
MADHYA PRADESH,0.7608930510375708
MAHARASHTRA,0.9171211834864458
MANIPUR,0.014466676865797333
MEGHALAYA,0.00869764159985817
MIZORAM,0.009009319680402026
NAGALAND,0.0026620868349850513
ODISHA,0.12668165188505753
ORISSA,0.002179028731204287
PONDICHERRY,0.001388664622537067
PUDUCHERRY,0.0017707596205460304
PUNJAB,0.19073226620614142
RAJASTHAN,0.4740523000293539
SIKKIM,0.0008929715294342718
TAMIL NADU,0.4711593155974497
TELANGANA,0.19292949950222327
TRIPURA,0.007102506634658585
UTTAR PRADESH,1.0
UTTARAKHAND,0.06889398973690063
WEST  BENGAL,7.68063913633443e-06
WEST BANGAL,1.2281256288000392e-05
WEST BENGAL,0.3306318463925502
WESTBENGAL,1.0843178378684036e-05
